Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1_0,nu2_0,nu1,nu2,T,m12,m21,m12i,m21i,P,p_misid)
SC_sym_i	Round_4_Replicate_20	-3105.87	6225.74	20296.85	831.14	0.2637,1.5881,2.2535,3.5431,0.2567,4.6524,0.6306
SC_sym_i	Round_4_Replicate_21	-3355.8	6725.6	404394.76	1100.9	0.3456,0.767,5.0708,4.3499,0.6817,6.8075,0.9353
SC_sym_i	Round_4_Replicate_22	-3119.4	6252.8	1397.85	1372.19	0.2117,0.7163,1.3765,8.9436,0.5898,11.083,0.5718
SC_sym_i	Round_4_Replicate_23	-3029.56	6073.12	1276.84	1787.09	0.1579,0.5886,1.4256,8.7469,0.2584,4.6172,0.8128
SC_sym_i	Round_4_Replicate_24	-3402.7	6819.4	4704.19	1044.92	0.1574,1.4604,2.3197,4.7212,0.9579,4.9704,0.5173
SC_sym_i	Round_4_Replicate_25	-3047.57	6109.14	2819.94	1534.35	0.1585,0.8199,2.7696,7.9563,0.2752,12.0966,0.7887
SC_sym_i	Round_4_Replicate_26	-3187.31	6388.62	3032.35	1295.53	0.2832,0.6458,2.8321,4.1066,0.7382,9.7257,0.723
SC_sym_i	Round_4_Replicate_27	-3409.86	6833.72	95689.97	1081.13	0.1512,1.6097,5.4903,3.6487,0.3299,12.3007,0.4701
SC_sym_i	Round_4_Replicate_28	-3936.5	7887.0	1391123.75	1000.43	0.2767,1.3248,2.6599,7.8753,0.6411,7.0188,0.9901
SC_sym_i	Round_4_Replicate_29	-3081.92	6177.84	73852.66	807.63	0.2913,1.5654,5.6342,2.7282,0.7499,7.1062,0.8439
SC_sym_i	Round_4_Replicate_30	-3094.14	6202.28	11236.84	1606.32	0.1409,0.7753,4.2928,6.3842,0.6642,11.196,0.4807
SC_sym_i	Round_1_Replicate_1	-16952.76	33921.52	1.2513105155939702e+16	361.58	13.1219,9.2325,6.8402,0.0704,0.1389,0.1391,0.9896,0.7749
SC_sym_i	Round_1_Replicate_2	-9646.01	19308.02	26914.06	2247.56	0.3191,0.2023,6.5914,8.4442,0.1027,4.7338,0.0961,0.6223
SC_sym_i	Round_1_Replicate_3	-33199.7	66415.4	1508033.69	306.9	5.3635,0.9817,0.0926,0.1227,1.9234,0.3701,0.3036,0.9889
SC_sym_i	Round_1_Replicate_4	-8755.57	17527.14	1.0312515791348602e+16	402.2	6.6985,2.6041,3.1678,8.1809,0.28,0.1551,0.0696,0.1289
SC_sym_i	Round_1_Replicate_5	-19326.49	38668.98	320225.98	2751.02	0.1143,0.1226,0.5655,0.1329,0.0629,0.4346,0.7845,0.6328
SC_sym_i	Round_1_Replicate_6	-9653.54	19323.08	44937.62	217.98	0.1324,7.2052,0.1616,0.7105,7.341,5.0265,0.4862,0.228
SC_sym_i	Round_1_Replicate_7	-7064.74	14145.48	41822086899.12	664.8	1.6058,1.4172,2.5766,6.3645,0.1473,0.186,0.9894,0.0519
SC_sym_i	Round_1_Replicate_8	-9297.25	18610.5	7201502503.83	226.24	4.6603,3.0609,9.6476,1.0618,0.2588,3.3727,0.184,0.3423
SC_sym_i	Round_1_Replicate_9	-21076.12	42168.24	245992.06	855.08	1.2097,0.2805,1.5343,0.3249,0.3001,15.0659,0.1317,0.9375
SC_sym_i	Round_1_Replicate_10	-5401.8	10819.6	7206.86	831.07	0.3987,1.2268,9.7946,0.1271,0.9037,5.3759,0.0858,0.2492
SC_sym_i	Round_2_Replicate_1	-13635.49	27286.98	40398.18	763.51	0.2988,1.4327,3.3943,0.059,0.3864,3.201,0.2632,0.8796
SC_sym_i	Round_2_Replicate_2	-5585.75	11187.5	5949.66	2087.15	0.0911,0.8738,14.0693,0.3022,0.1784,2.6539,0.023,0.3833
SC_sym_i	Round_2_Replicate_3	-23160.24	46336.48	411094.12	1838.44	0.3302,0.2247,9.8494,0.4234,2.3217,19.5354,0.378,0.9895
SC_sym_i	Round_2_Replicate_4	-5079.85	10175.7	14036.04	347.26	0.8507,4.6975,12.0243,0.0243,0.5654,3.2112,0.3384,0.1334
SC_sym_i	Round_2_Replicate_5	-4589.38	9194.76	4825.18	1071.03	0.582,0.4466,3.9463,0.5492,0.9927,1.1741,0.0863,0.0406
SC_sym_i	Round_2_Replicate_6	-7921.64	15859.28	36934.21	176.3	2.041,8.215,12.3773,0.2216,6.0841,7.6251,0.0252,0.1017
SC_sym_i	Round_2_Replicate_7	-5461.22	10938.44	5649.01	1171.37	0.184,1.34,19.3403,0.6474,4.4656,18.9721,0.2298,0.3525
SC_sym_i	Round_2_Replicate_8	-6978.03	13972.06	11515.36	767.57	1.1651,0.3657,1.9934,0.0785,1.8086,16.4052,0.1182,0.0556
SC_sym_i	Round_2_Replicate_9	-8904.65	17825.3	25448.72	630.49	2.1644,0.4553,16.4874,0.0751,2.9166,18.9923,0.1041,0.28
SC_sym_i	Round_2_Replicate_10	-6072.63	12161.26	8898.78	1168.81	0.4352,0.3958,13.6492,0.0901,6.2938,17.9256,0.1647,0.0694
SC_sym_i	Round_2_Replicate_11	-4547.18	9110.36	7088.98	303.89	0.7934,6.5905,6.1318,0.0939,0.2416,13.2798,0.0817,0.0938
SC_sym_i	Round_2_Replicate_12	-10327.71	20671.42	30067.86	484.57	2.915,0.5284,2.5416,0.0516,2.641,14.3438,0.0114,0.5003
SC_sym_i	Round_2_Replicate_13	-7546.62	15109.24	15211.53	1044.99	0.2953,1.1111,14.0693,0.1061,4.1736,5.2107,0.0383,0.4713
SC_sym_i	Round_2_Replicate_14	-20768.27	41552.54	227123.65	886.54	0.4768,0.7909,16.1023,0.5065,0.3094,8.7441,0.4295,0.9891
SC_sym_i	Round_2_Replicate_15	-20153.62	40323.24	201088.76	2055.18	0.1793,0.3647,6.6586,0.5636,4.0495,7.8219,0.1851,0.9891
SC_sym_i	Round_2_Replicate_16	-12253.96	24523.92	40324.41	1232.6	0.7926,0.2084,1.8359,0.0405,0.3922,2.4704,0.0341,0.6128
SC_sym_i	Round_2_Replicate_17	-12536.7	25089.4	6616113.84	221.15	2.6197,2.8754,1.8197,0.7803,4.9636,6.8232,0.0151,0.7656
SC_sym_i	Round_2_Replicate_18	-26735.37	53486.74	967074.2	854.55	1.6012,0.2729,3.0703,0.164,0.4148,2.1265,0.0382,0.9892
SC_sym_i	Round_2_Replicate_19	-4976.89	9969.78	5008.2	305.77	0.7254,5.225,15.6547,0.2318,2.4005,3.1224,0.532,0.2911
SC_sym_i	Round_2_Replicate_20	-4566.36	9148.72	4377.73	981.56	0.346,0.8107,1.4612,0.1181,0.5804,19.6196,0.0102,0.1698
SC_sym_i	Round_3_Replicate_1	-6895.65	13807.3	20600.28	139.48	2.1873,18.8041,16.8696,0.1675,0.9481,18.8449,0.066,0.1283
SC_sym_i	Round_3_Replicate_2	-4630.0	9276.0	9879.59	257.0	0.5856,16.1023,5.1714,0.0328,0.5491,12.6769,0.1037,0.1074
