Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m, mi, T1, T2, P)
Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m, mi, T1, T2, P)
Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m, mi, T1, T2, P)
1	Round_2_Replicate_8	-8609.55	17227.1	68776.8	985.98	0.2254,1.3559,0.2085,0.3254
1	Round_2_Replicate_6	-14070.23	28148.46	65953.79	996.18	8.6598,0.2102,0.0561,0.6877
1	Round_2_Replicate_5	-7988.26	15984.52	73347.86	368.8	2.469,3.1191,1.0269,0.0122
1	Round_1_Replicate_10	-10324.82	20657.64	115513.48	1389.25	0.3749,0.3559,0.3074,0.0588
1	Round_2_Replicate_10	-7223.53	14455.06	21374.96	1250.52	0.8849,0.1745,0.0315,0.1282
1	Round_1_Replicate_11	-64909.22	129826.44	1.4669204141653631e+22	801.71	0.1236,0.1222,6.1425,0.1068
1	Round_2_Replicate_9	-3786.86	7581.72	5895.04	1277.76	0.16,0.6087,0.0334,0.0211
1	Round_2_Replicate_7	-16473.3	32954.6	325237.47	717.02	3.1049,0.2082,0.427,0.0366
1	Round_2_Replicate_6	-15232.28	30472.56	81819.08	803.61	2.2521,0.5858,0.2029,0.816
1	Round_2_Replicate_11	-3917.49	7842.98	134206.1	1203.21	0.0495,3.7627,0.0103,0.0175
1	Round_1_Replicate_12	-26228.64	52465.28	484982.82	373.27	6.9644,2.5946,0.5176,0.9885
1	Round_2_Replicate_10	-6556.03	13120.06	81194.13	1286.76	0.1355,0.5518,0.0205,0.4325
1	Round_2_Replicate_8	-7835.86	15679.72	50308.77	1079.21	4.7701,0.212,0.0393,0.1131
1	Round_2_Replicate_7	-3992.55	7993.1	90990.31	862.75	0.4363,3.5383,0.0818,0.0287
1	Round_2_Replicate_12	-7035.9	14079.8	5891789273980.56	1102.22	1.1518,0.6037,0.0268,0.0955
1	Round_1_Replicate_13	-6716.6	13441.2	15572.05	1606.38	0.2084,0.1926,0.0613,0.0623
1	Round_2_Replicate_11	-18612.12	37232.24	947387.87	2442.35	0.182,0.0934,0.2483,0.2048
1	Round_1_Replicate_11	-107205.44	214418.88	-1.1771629037395274e+25	411.73	0.1803,1.5934,7.8428,0.9898
1	Round_2_Replicate_9	-4921.4	9850.8	8319.02	1057.57	0.529,0.8819,0.0836,0.1849
1	Round_2_Replicate_8	-10207.28	20422.56	21878544.85	246.17	7.501,10.9998,0.6416,0.4621
1	Round_2_Replicate_13	-4075.47	8158.94	102824.47	894.71	0.3077,5.5783,0.0619,0.0357
1	Round_2_Replicate_12	-4223.6	8455.2	6395.78	1042.83	0.4913,0.9836,0.0873,0.0767
1	Round_1_Replicate_14	-26454.75	52917.5	649228.06	737.13	1.7086,0.6943,0.428,0.9897
1	Round_1_Replicate_12	-45584.04	91176.08	9732359954107110.0	271.95	1.1994,0.784,15.4023,0.099
1	Round_2_Replicate_10	-7552.69	15113.38	101978.21	1149.37	3.4095,0.1666,0.0285,0.0319
1	Round_2_Replicate_14	-5171.81	10351.62	15609.04	1205.08	0.1442,0.9061,0.0816,0.0395
1	Round_2_Replicate_9	-6469.43	12946.86	29251.41	548.15	0.5478,6.4791,0.2753,0.1445
1	Round_2_Replicate_13	-5183.83	10375.66	574513350.52	1145.44	0.2118,1.4764,0.0209,0.1545
1	Round_1_Replicate_15	-22895.61	45799.22	371679.9	604.64	0.4697,5.2617,0.2461,0.9899
1	Round_1_Replicate_13	-58533.47	117074.94	58569507358.03	1104.92	0.1207,0.7407,1.4747,0.9885
1	Round_2_Replicate_11	-11961.47	23930.94	3.683772749235458e+19	887.91	5.7179,1.7978,0.0438,0.3904
1	Round_2_Replicate_15	-5965.09	11938.18	13893.97	1622.21	0.127,0.2445,0.0538,0.0399
1	Round_2_Replicate_10	-6848.62	13705.24	35778.5	284.32	3.6605,5.7741,0.9459,0.0132
1	Round_2_Replicate_14	-4580.87	9169.74	11988.81	823.06	0.5421,2.7732,0.1135,0.1382
1	Round_2_Replicate_1	-9052.83	18113.66	114961.4	573.35	0.1671,13.1175,0.2099,0.047
1	Round_1_Replicate_14	-24274.29	48556.58	686261.87	679.38	0.2773,3.3635,0.3003,0.9897
